original_title,release_date
Gekijouban Clannad,"Clannad is set in a high-school located in some Japanese town. Okazaki Tomoya is a third-year student who doesn't take his studies seriously. Always late for class
Veer,"Circa 1920 British India
Ho vinto la lotteria di Capodanno,"Ciottoli is a journalist with absolutely no prospective for his career
Noel,"Christmas Eve in New York
Doctor Who: The Snowmen,"Christmas Eve
Chris Rock: Bigger & Blacker,"Chris Rock brings his critically acclaimed brand of social commentary-themed humor to this 1999 standup comedy presentation from HBO. Also released as an album
The Other,"Chilling and eerie
Revenge of the Pink Panther,"Chief Inspector Jacques Clouseau is dead. At least that is what the world (and Charles Dreyfus) believe when a dead body is discovered in Clouseau's car after being shot off the road. Naturally
The Agony and the Ecstasy,"Charlton Heston stars as Renaissance artist Michelangelo di Lodovico Buonarroti Simoni (6 March 1475 â€“ 18 February 1564)
Being Charlie,"Charlie is a troublesome 18-year-old who breaks out of a youth drug treatment clinic
A Glimpse Inside the Mind of Charles Swan III,"Charles Swan III
Diary of a Mad Black Woman,"Charles McCarter and his wife Helen are about to celebrate their 18th-wedding anniversary when Helen comes home to find her clothes packed up in a U-Haul van parked in the driveway. Charles is divorcing Her. Helen moves in with her grandmother Madea
Blue Hawaii,"Chad Gates has just gotten out of the Army
Code Name: The Cleaner,"Cedric the Entertainer plays Jake
How to Rob a Bank,"Caught in the middle of a bank robbery
The Haunting Hour: Don't Think About It,"Cassie
96 heures,"CarrÃ© is the boss of the BRB (Brigade for the Repression of Banditry). 3 years earlier
Sex and the City 2,"Carrie
George Carlin: Life Is Worth Losing,"Carlin returns to the stage in his 13th live comedy stand-up special
Dinotopia,"Carl and David
Captain EO,"Captain EO is a 3-D science fiction film starring Michael Jackson and directed by Francis Ford Coppola (who came up with the name ""Captain EO"" from the Greek
Candleshoe,"Candleshoe is a 1977 Walt Disney Productions live action movie based on the Michael Innes novel Christmas at Candleshoe and starring Jodie Foster
Errors of the Human Body,"Canadian scientist Dr Geoff Burton takes up a position at a new institute in wintry Dresden
Camille redouble,"Camille was only sixteen and still in high school when she fell in love with Eric
Where Hope Grows,"Calvin Campbell is a former professional baseball player sent to an early retirement due to his panic attacks at the plate. Even though he had all the talent for the big leagues
The Octagon,"Called ""spectacularly choreographed and executed"" by the Hollywood Reporter
Game of Death,"CIA agent Marcus (Snipes) is sent undercover to Detroit to take out an arms dealer and the head of the hedge fund that is financing him. His CIA backup has other plans and turns on him
Waking Sleeping Beauty,"By the mid-1980s
How to Make Love Like an Englishman,"By day
Lying to Be Perfect,"By day
Ernest Goes to Jail,"Bumbling Ernest P. Worrell is assigned to jury duty
Blank Check,"Bullied by his siblings and nagged by his parents
Bruiser,"Bruiser is the story of a man who has always tried to fit in. He keeps his mouth shut
Game of Death,"Bruce Lee plays Billy Lo
Brothers,"Brothers is an upcoming Hindi film
Charlie: The Life and Art of Charles Chaplin,"Brilliant
Bridegroom,"Bridegroom gives an intensely personal edge to the ongoing debate over the legal rights of same-sex couples. Interviews
Hidden 3D,"Brian's mother dies and is surprised when he inherit's The Sanctuary
Thunderstruck,"Brian is a 16 year-old who can't play basketball
A Merry Friggin' Christmas,"Boyd Mitchler and his family must spend Christmas with his estranged family of misfits. Upon realizing that he left all his son's gifts at home
Say It Isn't So,"Boy meets girl; boy falls in love (and had wild
Born To Race,"Born To Race is the story of Danny Krueger
Picture This,"Bookish and unpopular Mandy finds her luck finally changing when Drew
Bonnie & Clyde,"Bonnie and Clyde is a two-part film about two Depression-era outlaws
The Echo,"Bobby Reynolds is released on probation from Rikers and moves to the old apartment in East Village
Dream a Little Dream,"Bobby Kellar has a crush on Lainie Diamond
B.O.B.'s Big Break,"Bob is back and funnier than ever! The 11 minute short introduces us to the monsters pre-Susan/Ginormica. Dr. Cockroach comes up with a brilliant plan to break themselves out of Area 52 â€“ but to implement the plan
Bob the Butler,"Bob
Billy Madison,"Billy Madison is the 27 year-old son of Bryan Madison
Southpaw,"Billy ""The Great"" Hope
Seance on a Wet Afternoon,"Bill Savage is struggling to maintain his marriage to his increasingly unbalanced wife
The Candidate,"Bill McKay is a candidate for the U.S. Senate from California. He has no hope of winning
Albatross,"Beth
Wrecker,"Best friends Emily and Lesley go on a road trip to the desert. When Emily decides to get off the highway and take a ""short cut
Deep in the Valley,"Best friends
Follow That Camel,"Bertram Oliphant West (also known as Bo West) wants to clear his unjustly smeared reputation. He joins the Foreign Legion
Bernie,"Bernie
We Bought a Zoo,"Benjamin has lost his wife. In a bid to start his life over
Cuban Fury,"Beneath Bruce Garrett's under-confident
Smart House,"Ben Cooper and his family struggling to get a grip on household chores
Man of the House,"Ben Archer is not happy. His mother
The Land Before Time IX: Journey to the Big Water,"Beloved dinosaurs Littlefoot
The Outback,"Being teased for his color
The Phantom,"Before Superman
Compliance,"Becky and Sandra arenâ€™t the best of friends. Sandra is a middle-aged manager at a fast-food restaurant; Becky is a teenaged counter girl who really needs the job. One stressful day (too many customers and too little bacon)
Snowtown,"Based on true events
The Ouija Experiment,"Based on true events
Grey Gardens,"Based on the life stories of the eccentric aunt and first cousin of Jackie Onassis raised as Park Avenue dÃ©butantes but who withdrew from New York society
Amanda Knox: Murder on Trial in Italy,"Based on the events surrounding the murder of British student Meredith Kercher.Hayden Panettiere (Heroes) and Marcia Gay Harden (Academy Award winner for Pollock) star in the Lifetime Original Movie Amanda Knox: Murder on Trial in Italy based on the international headline-grabbing story of the now infamous American exchange student accused by Italian authorities of brutally killing her roommate. Amanda Knox: Murder on Trial in Italy poses the question of whether Knox (Panettiere)
uwantme2killhim?,"Based on the Vanity Fair article of the same title
Kongen av BastÃ¸y,"Based on a true story: Norwegian winter
Killer Elite,"Based on a shocking true story
Hurlyburly,"Based on a play by David Rabe
Trishna,"Based on Thomas Hardyâ€™s classic novel Tess of the Dâ€™Urbervilles
Kevin Hart: Let Me Explain,"Based on Kevin Hart's 2012 ""Let Me Explain"" concert tour
Swindle,"Based on Gordon Korman's book 'Swindle
I Am David,"Based on Anne Holm's acclaimed young adult novel North to Freedom
Dennis the Menace Strikes Again!,"Barricade the doors. Lock the windows. Because he's baaaack. That one-boy wrecking crew
The Legend of Barney Thomson,"Barney Thomson
Barbie as the Island Princess,"Barbie plays Rosella in this new musical film. Shipwrecked as a child
Barbie: The Pearl Princess,"Barbie plays Lumina
Barbie in Princess Power,"Barbie is Kara - a modern-day princess with a normal life. Kissed by a butterfly which gives her superpowers and allows her to become a Super Sparkle
Balto III: Wings of Change,"Balto and the other sled dogs are feeling dejected because the mail that used to be delivered by dogsled is now being delivered by airplanes. But when a mail plane crashes in the mountains
20 Feet from Stardom,"Backup singers live in a world that lies just beyond the spotlight. Their voices bring harmony to the biggest bands in popular music
Space Buddies,"B-Dawg
Palindromes,"Aviva is thirteen
Ava's Possessions,"Ava is recovering from demonic possession. With no memory of the past month
The Crocodile Hunter: Collision Course,"Aussie adventurer Steve Irwin aka The Crocodile Hunter has avoided the death-roll and nabbed another feisty croc
August,"August tells the story of two former lovers
August,"August is a 2008 drama film directed by Austin Chick and produced by 57th &amp; Irving. The screenplay by Howard A. Rodman focuses on two brothers
The Pretty One,"Audrey has all of the qualities that her twin sister Laurel wishes she possessed: confidence
Curfew,"At the lowest point of his life
The Bling Ring,"At the center of one of Hollywood's most notorious burglary rings in 2009 was a group of average
Madea Goes to Jail,"At long last
The Stag,"At his fiancÃ©eâ€™s urging
September,"At a summer house in Vermont
The Thaw,"At a remote Arctic research station
Robosapien: Rebooted,"At Kinetech Labs
The Smurfs: A Christmas Carol,"At Christmas
Date With an Angel,"Aspiring composer Jim Sanders is engaged to spoiled rich girl Patty. But the morning after his bachelor party
Wall Street: Money Never Sleeps,"As the global economy teeters on the brink of disaster
Joe Strummer: The Future Is Unwritten,"As the front man of the Clash from 1977 onwards
The Life Before Her Eyes,"As the 15th anniversary of a fatal high school shooting approaches
La Belle verte,"As part of an intergalactic coalition
Learning to Drive,"As her marriage dissolves
Moonlight Mile,"As he copes with the death of his fiancee along with her parents
ATL,"As four friends prepare for life after high school
Submarino,"As children
Airborne,"As a snow storm closes in
Zulu,"As a child
The Last Exorcism Part II,"As Nell Sweetzer tries to build a new life after the events of the first movie
Artifact,"Artifact is a 2012 American documentary film directed by Jared Leto under the pseudonym of Bartholomew Cubbins
Arthur et la vengeance de Maltazard,"Arthur answers a distress call from Princess Selenia
Ð‘Ñ€Ð°Ñ‚ 2,"Arriving in Moscow
Les rencontres d'aprÃ¨s minuit,"Around midnight
Arn: Tempelriddaren,"Arn
Second In Command,"Armed insurgents attempt a coup d'etat in a troubled Eastern European country
Moving,"Arlo accepts what seems to him to be a dream promotion to Idaho. He soon discovers
The Oblong Box,"Aristocrat Julian Markham keeps his disfigured brother
Killing Lincoln,"April 14
Dans la cour,"Antoine is a musician. The forties
Deux jours Ã  tuer,"Antoine MÃ©liot is around 40 years old and has everything he needs to be happy: a beautiful wife
Enfin veuve,"Anne-Marie vient de perdre son mari dans un accident de voiture. Elle est enfin libre d'aimer celui qu'elle voit en cachette depuis deux ans. Mais elle n'a pas prÃ©vu que sa famille
Anne of Avonlea,"Anne Shirley
Intruders,"Anna suffers from agoraphobia so crippling that when a trio of criminals break into her house
Cosa voglio di piÃ¹,"Anna is an accountant for an important insurance firm and lives with her longterm lover Alessio - a man who longs for a stable longterm relationship with children
The Butterfly Room,"Ann
Aningaaq,"Aningaaq
Life or Something Like It,"Angelina Jolie and Edward Burns sizzle in this romantic comedy about making choices
Grupo 7,"Angel
Brink!,"Andy ""Brink"" Brinker and his in-line skating crew--Peter
Waste Land,"An uplifting feature documentary highlighting the transformative power of art and the beauty of the human spirit. Top-selling contemporary artist Vik Muniz takes us on an emotional journey from Jardim Gramacho
Lassie,"An update of the Lassie legend stars Thomas Guiry as a troubled city kid whose family retreats to the country
Out for a Kill,"An unsuspecting university professor is an unwitting accomplice in a foiled Chinese cocaine deal. Wrongly imprisoned
NYC: Tornado Terror,"An unexplained
Lilies of the Field,"An unemployed construction worker (Homer Smith) heading out west stops at a remote farm in the desert to get water when his car overheats. The farm is being worked by a group of East European Catholic nuns
You May Not Kiss the Bride,"An unassuming pet photographer is thrown into serious action
Pete's Christmas,"An overlooked middle child finds himself in the unexpected spotlight when he realizes his family's terrible Christmas day keeps repeating. As the only one experiencing the day over and over
Miss Austen Regrets,"An outwardly confident but unmarried woman on the verge of her fortieth birthday reflects on her past suitors and the choices she once made while attempting to help her marriage minded niece choose between a number of potential suitors in this tale inspired by the life and letters of Jane Austen. Jane Austen is about to turn forty
Hollow,"An old monastery in a small
Green Street Hooligans: Underground,"An old firm leader returns to Green Street for Revanche after receiving a call that his little brother was killed
Fat Albert,"An obese boy named Fat Albert and his friends Rudy
Drowning by Numbers,"An ironic black comedy of love and death that takes place an a lyrically beautiful landscape. Three related women
Io e te,"An introverted teenager tells his parents he is going on a ski trip
Haunt,"An introverted teen sparks with his new neighbor
The Golden Bowl,"An intricately plotted tale of thwarted love and betrayal
The International,"An interpol agent and an attorney are determined to bring one of the world's most powerful banks to justice. Uncovering money laundering
Good Boy!,"An intergalactic dog pilot from Sirius (the dog star)
Direct Contact,"An imprisoned ex-US Special forces operative in Eastern Europe
Good Hair,"An exposÃ© of comic proportions that only Chris Rock could pull off
The Chaperone,"An ex-con on the run from his criminal past
Paranoia,"An entry-level employee at a powerful corporation finds himself occupying a corner office
Riders,"An entrepreneurial criminal
Long nga,"An assassin who is fresh from his latest kill becomes stranded in an island
Porno,"An assassin
Frances Ha,"An aspiring dancer moves to New York City and becomes caught up in a whirlwind of flighty fair-weather friends
Creature,"An amphibious shark-like monster terrorizes an abandoned secret military base and the people who live on the island it is located on. A marine biologist
Hardball,"An aimless young man who is scalping tickets
Geri's Game,"An aging codger named Geri plays a daylong game of chess in the park against himself. Somehow
The Congress,"An aging
Kick,"An adrenaline junkie walks away from a whirlwind romance and embraces a new life as a thief
How to Fall in Love,"An accountant
Introducing Dorothy Dandridge,"An acclaimed stage performer
Third Person,"An acclaimed novelist struggles to write an analysis of love in one of three stories
SorstalansÃ¡g,"An Hungarian youth comes of age at Buchenwald during World War II. GyÃ¶rgy KÃ¶ves is 14
The Hitch Hikers Guide to the Galaxy,"An Earth Man and his alien friend escape an exploding Earth
Lemon Tree Passage,"An Australian urban legend comes screaming on the Ozploitation scene. Itâ€™s said that if you drive down the creepy road of Lemon Tree Passage
The Ramen Girl,"An American woman is stranded in Tokyo after breaking up with her boyfriend. Searching for direction in life
Boys of Abu Ghraib,"An American soldier deployed at Abu Ghraib finds himself behind the walls of the infamous Hard Site
Shanghai,"An American man returns to a corrupt
Doctor Who: A Christmas Carol,"Amy Pond and Rory Williams are trapped on a crashing space liner
Company of Heroes,"American soldiers lost behind enemy lines during the WWII make a horrific discovery: Hitler has a super bomb in development. Against all odds
The Magical Legend of the Leprechauns,"American businessman Jack Woods rents a cottage on the enchanted Emerald Isle which is occupied by a family of leprechauns. Leprechaun Seamus Muldoon's son and son's friends crash the fairies' costume ball and Muldoon's son falls in love with fairy Princess Jessica. Their love re-ignites a feud between the leprechauns and the fairies
Amour Sur Place ou Ã  Emporter,"Amelle and Noom are two young thirties are total opposites and that fate will bring. Serious She manager at Starbucks
The Good Guy,"Ambitious young Manhattanite and urban conservationist Beth (Bledel) wants it all: a good job
Lost in Austen,"Amanda
Sundays at Tiffany's,"Alyssa Milano
Floride,"Although he's now eighty years old
Nothing Personal,"Alone in her empty flat
Alma,"Alma
Think Like a Man Too,"All the couples are back for a wedding in Las Vegas
Center Stage : Turn It Up,"All self-taught dancer Kate Parker has ever wanted to do was perform with the American Academy of Ballet. But when she doesnt make it after auditioning
History of the Eagles,"Alison Ellwoodâ€™s intimate
No Stranger Than Love,"Alison Brie portrays a high school art teacher in the small town. She is about to begin an affair with the married high school football coach
Alice in Wonderland,"Alice follows a white rabbit down a rabbit-hole into a whimsical Wonderland
The Family That Preys,"Alice Pratt
Ce que le jour doit Ã  la nuit,"Algeria
Quai d'Orsay,"Alexandre Taillard de Vorms is a force to be reckoned with. With his silver mane and tanned
Devil Seed,"Alexandra is a lively college student returning to live with her roommates Jessica and Breanne after the summer holidays. After a night of drinking
Ce soir je dors chez toi,"Alex and Laetitia appear to make the perfect couple. But
The Overnight,"Alex
Ironweed,"Albany
Jayne Mansfield's Car,"Alabama; 1969: The death of a clan's estranged wife and mother brings together two very different families. Do the scars of the past hide differences that will tear them apart
Free Willy: Escape From Pirate's Cove,"After young Kirra (Bindi Irwin) leaves her Australian home to summer with her grandfather (Beau Bridges) in South Africa
Night Owls,"After workaholic Kevin has a drunken one night stand with the beautiful train-wreck Madeline
Bullet to the Head,"After watching their respective partners die
Beneath the Darkness,"After watching their best friend get murdered
Savaged,"After thugs brutalize a deaf-mute woman
The Intruders,"After the traumatic loss of her mother
I'll Follow You Down,"After the disappearance of a young scientist on a business trip
11/11/11,"After the death of his wife and child
The Accidental Tourist,"After the death of his son
Death Wish 4: The Crackdown,"After the death of his girlfriend's daughter from a drug overdose
Flowers in the Attic,"After the death of her husband
See You In Valhalla,"After the bizarre death of her brother
Batman: Dead End,"After the Joker escapes from Arkham Asylum
After the Ball,"After the Ball
The Damned,"After suffering the recent loss of his wife
The Adventure of Sherlock Holmes' Smarter Brother,"After spending decades living in the shadow of his more famous and successful sibling
Last Holiday,"After she's diagnosed with a terminal illness
En ganske snill mann,"After serving a 12-year sentence for killing the man that slept with his wife
A Dangerous Man,"After serving 6 years for a crime he didn't commit
Childhood's End,"After peaceful aliens invade earth
Tammy,"After losing her job and learning that her husband has been unfaithful
The Angriest Man in Brooklyn,"After learning that a brain aneurysm will kill him in about 90 minutes
Smiley,"After learning of an urban legend in which a demented serial killer named SMILEY can be summoned through the Internet
Weather Girl,"After learning her boyfriend (Harmon) cheated on her with his co-host (Olson)
Seeking Justice,"After his wife is assaulted
A Warrior's Heart,"After his fatherâ€™s death
Alex of Venice,"After her stay-at-home husband leaves her
Insanitarium,"After he's institutionalized in order to cover for his sister
Calvary,"After he is threatened during a confession
The Substitute,"After he did some jobs for CIA
Crown for Christmas,"After getting fired from her job as a maid at a ritzy New York City hotel
To the Wonder,"After falling in love in Paris
Student Bodies,"After experiencing a series of sexually related mishaps
The Other Woman,"After discovering her boyfriend is married
Waterloo,"After defeating France and imprisoning Napoleon on Elba
Frontera,"After crossing the border illegally for work
Kicking and Screaming,"After college graduation
The Darwin Awards,"After botching the capture of a notorious serial killer
$5 a Day,"After being released from jail
Babylon 5: The Legend of the Rangers - To Live and Die in Starlight,"After being punished for retreat from combat
The Incredible Shrinking Woman,"After being exposed to a bizarre mixture of household chemicals
Tom and Jerry: The Fast and the Furry,"After being evicted from their old house by Tom's owner for causing major damage
With This Ring,"After attending their friend Elise's (Sudano) wedding to Nate (Bishop) on New Year's Eve
A Good Man,"After an illustrious special ops career ends in disaster
Prince Charming,"After an extramarital indiscretion
Rush Hour 3,"After an attempted assassination on Ambassador Han
The Living,"After an alcohol induced blacked-out night of drinking
The Drownsman,"After almost drowning in a lake
Alyce Kills,"After accidentally knocking her best friend off a roof
The Wicked Within,"After a year passes since the sudden death of a child
Final Destination,"After a teenager has a terrifying vision of him and his friends dying in a plane crash
30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,"After a stint in a psychiatric hospital
Girls Against Boys,"After a series of bad experiences with men
Enemies Closer,"After a major shipment of drugs goes missing on the US-Canadian border
Memoirs of an Invisible Man,"After a freak accident
Safe,"After a former elite agent rescues a 12-year-old Chinese girl who's been abducted
44 Minutes: The North Hollywood Shoot-Out,"After a failed bank robbery
Alex Cross,"After Washington DC detective Alex Cross is told that a family member has been murdered
Eating Out 2: Sloppy Seconds,"After Marc dumps him
The Monkey's Paw,"After Jake Tilton is given a mystical ""monkey's paw"" talisman that grants its possessor three wishes
Stoker,"After India's father dies
A Good Marriage,"After 25 years of a good marriage
The Fear of 13,"After 23 years on Death Row a convicted murderer petitions the court asking to be executed
Saathiya,"Aditya (Vivek Oberoi)
Brotherhood,"Adam Buckley finds himself in the middle of a convenience store robbery during his last night as a pledge for a college fraternity. When the initiation ritual goes horribly wrong
Venuto al mondo,"Actor-director Sergio Castellitto (Don't Move) directs PenÃ©lope Cruz and Emile Hirsch in this vivid
Wake of Death,"Action superstar
Hammer of the Gods,"Action epic sees a passionate young man transform into a brutal warrior as he travels the unforgiving landscape in search of his long lost brother Hakan The Ferrocious
Ben Hur,"About the struggle between the Roman Empire and its rebellious conquest Judaea
Transmorphers,"About a race of alien robots that have conquered Earth and forced humanity underground. After 400 years
Another Gay Sequel: Gays Gone Wild!,"ANOTHER GAY SEQUEL finds our heroes ANDY
Manglehorn,"AJ Manglehorn is an aging
Johnson Family Vacation,"AAA can't help the roadside emergency that is the JOHNSON FAMILY VACATION. Even the on-board navigation system has a meltdown on Nate Johnson and his family's cross-country trek to their annual family reunion/grudge match. Reluctantly along for the ride are Nate's wife
A Case of You,"A young writer tries to impress a girl he meets online with an embellished profile
Echoes,"A young writer experiences visions during episodes of sleep paralysis
Nobody Walks,"A young woman's arrival sparks a surge of energy into a laid-back
The Vanishing,"A young woman (Sandra Bullock) mysteriously disappears
Chloe and Theo,"A young woman
The Good Witch's Family,"A young witch visits her cousin in a small town during a heated mayoral election race. Her kind-hearted cousin
Plush,"A young singer/songwriter
Solstice,"A young girl uncovers a disturbing secret about her twin sister
The Young Black Stallion,"A young girl named Neera
Du vent dans mes mollets,"A young girl is frustrated by her over-protective mom. At school
The Possession,"A young girl buys an antique box at a yard sale
CQ,"A young filmmaker in 1960s Paris juggles directing a cheesy sci-fi debacle
Shorts,"A young boy's discovery of a colorful
The Snowman,"A young boy makes a snowman one Christmas Eve
Two Moon Junction,"A young Southern dÃ©butante temporarily abandons her posh lifestyle and upcoming
Easy Virtue,"A young Englishman marries a glamorous American. When he brings her home to meet the parents
The Sleeping Dictionary,"A young Englishman is dispatched to Sarawak to become part of the British colonial government. He encounters some unorthodox local traditions
Boy Wonder,"A young Brooklyn boy witnesses the brutal murder of his mother and grows up obsessed with finding her killer. Thus begins his life as a quiet
Swimming with Sharks,"A young
Left Behind III: World at War,"A year and a half ago the world was hit with the biggest catastrophe it had ever seen. Without warning and without explanation
Repo! The Genetic Opera,"A worldwide epidemic encourages a bio-tech company to launch an organ-financing program similar in nature to a standard car loan. The repossession clause is a killer
The Flight of Dragons,"A wondrous tale of action and suspense
Womb,"A woman's consuming love forces her to bear the clone of her dead beloved. From his infancy to manhood
Bunny Lake Is Missing,"A woman reports that her young daughter is missing
Absolute Deception,"A widowed reporter recruits the help of a federal agent to investigate her late husband's secrets
Il Mostro,"A vicious serial sex killer is on the loose
Khoobsurat,"A vibrant
Storm of the Century,"A very powerful blizzard hits the fictional small town of Little Tall Island (also the setting of King's novel Dolores Claiborne) off the coast of Maine. The storm is so powerful that all access off the island is blocked
Dorian Gray,"A vain London playboy offers his soul in exchange for eternal beauty in this adaptation of the chilling tale by author Oscar Wilde. Seduced into the decadent world of Lord Henry Wotton (Colin Firth)
The Mists of Avalon,"A unique re-working of the Arthurian epic
Insidious: Chapter 3,"A twisted new tale of terror begins for a teenage girl and her family
Beauty and the Beast,"A twist on the morality tale of forbidden love between the beautiful Belle and the feared Beast. As the villagers are being brutally murdered and the Beast is hunted down as the one responsible for the mayhem
The Truth About Emanuel,"A troubled young woman becomes obsessed with her mysterious new neighbor
Someone Marry Barry,"A trio of friends scheme to find a wife for their socially inappropriate friend Barry
Tactical Force,"A training exercise for the LAPD SWAT Team goes terribly wrong when they find themselves pitted against two rival gangs while trapped in an abandoned Hangar
Bullet,"A tough
I Hate Love,"A teenager loses his hearing after a terrible accident. Shortly after
Hellphone,"A teenager feels an endless fascination for his cellular which will enable him to reach his aim: alluring the pretty high-school girl he's in love with. Unfortunately
Coldwater,"A teenage boy is sent to a juvenile reform facility in the wilderness. As we learn about the tragic events that sent him there
Emergo,"A team of parapsychologists sets out to investigate a series of anomalous phenomena taking place in a newly occupied apartment. Telephone calls with no caller
The Mummy Resurrected,"A team of archaeologists discover an ancient mummy
Grace Unplugged,"A talented young singer and aspiring songwriterâ€™s Christian faith and family ties are tested when she defies her worship-pastor father and pursues pop-music stardom in GRACE UNPLUGGED
Suwingu gÃ¢ruzu,"A tale of delinquent and lazy school girls. In their efforts to cut remedial summer math class
Hereafter,"A supernatural thriller centered on three people -- a blue-collar American
The Stranger,"A supernatural thriller
Maniac Cop 2,"A supernatural
ChÃ©ri,"A sumptuous dramatic comedy set in late 19th Century France
Mojave,"A suicidal artist goes into the desert
Wrong Turn 6: Last Resort,"A sudden and mysterious inheritance brings Danny and his friends to Hobb Springs
Boy Culture,"A successful male escort describes in a series of confessions his tangled romantic relationships with his two roommates and an older
September Dawn,"A story set against the Mountain Meadows Massacre
Faubourg 36,"A star is born in a time of both celebration and instability in this historical drama with music from director Christophe Barratier. In the spring of 1936
Dog Soldiers,"A squad of British soldiers on training in the lonesome Scottish wilderness find a wounded Special Forces captain and the carnaged remains of his team. As they encounter zoologist Megan
White Sands,"A small southwestern town sheriff finds a body in the desert with a suitcase and $500
Wrong Turn 5: Bloodlines,"A small West Virginia town is hosting the legendary Mountain Man Festival on Halloween
Syrup,"A slacker hatches a million-dollar idea. But
You Can Count on Me,"A single mother's life is thrown into turmoil after her struggling
Meet the Browns,"A single mother living in inner city Chicago
Electra Glide in Blue,"A short Arizona motorcycle cop gets his wish and is promoted to Homicide following the mysterious murder of a hermit. He is forced to confront his illusions about himself and those around him in order to solve the case
Takers,"A seasoned team of bank robbers
Piranha Part Two: The Spawning,"A scuba diving instructor
Species: The Awakening,"A scientist
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,"A sci-fi anime House-musical movie collaboration between Daft Punk--and their music--and designer Leiji Matsumoto. During the recording of their DISCOVERY album and using the themes of sci-fi celebrity
Promised Land,"A salesman for a natural gas company experiences life-changing events after arriving in a small town
Wild Hearts Can't Be Broken,"A runaway orphan
Close Range,"A rogue soldier turned outlaw is thrust into a relentless fight with a corrupt sheriff
Sniper: Legacy,"A rogue gunman is assassinating high-ranking military officers one by one. When Gunnery Sgt. Brandon Beckett is informed his father
Dark Night of the Scarecrow,"A retarded man is unjustly accused of attacking a young girl. Disguised as a scarecrow
Birds of America,"A regular guy struggles with a repressive home and professional life
Penthouse North,"A reclusive photojournalist lives quietly in a New York penthouse
Simon Killer,"A recent college graduate goes to Paris after breaking up with his girlfriend of five years. His life should be open-ended and full of promise
Lightbulb,"A rags-to-riches story of two friends
Winged Creatures,"A psychotic man opens fire in a diner
The Killing of a Chinese Bookie,"A proud strip club owner is forced to come to terms with himself as a man
Home Run,"A pro ball player with a substance abuse problem is forced into rehab in his hometown
Casper: A Spirited Beginning,"A prequel to the first animated/live-action Casper feature
Strangers with Candy,"A prequel to the critically acclaimed series featuring Jerri Blank
Strangeland,"A pierced and tattooed sadist
Du bi quan wang da po xue di zi,"A one-armed martial arts master is being stalked by an Imperial assassin
The Phoenix Incident,"A number of 'missing person' cases are reported in Phoenix
Brain Damage,"A normal
Best Man Down,"A newlywed couple cancels their honeymoon and returns to the snowy Midwest to make the funeral arrangements for their best man
Les lÃ¨vres rouges,"A newlywed couple are passing through a vacation resort. Their paths cross with a mysterious
The Benefactor,"A newly married couple are forced to navigate the all-consuming interest of a powerful
Everything or Nothing: The Untold Story of 007,"A new feature documentary from Metro-Goldwyn-Mayer Studios
John Dies at the End,"A new drug promises out-of-body experiences
The Three Investigators and the Secret of Terror Castle,"A new case for the cult detectives! Not by coincidence
Whatever It Takes,"A nerdy teen
Shallow Ground,"A naked teenage boy covered in blood appears at a remote sheriff's station one year after the brutal unsolved murder of a local girl. Now Sheriff Jack Shepherd
A Big Hand for the Little Lady,"A naive traveler in Laredo gets involved in a poker game between the richest men in the area
The Good Witch,"A mysterious woman comes in to town and inhabits the local haunted mansion
Forbidden Zone,"A mysterious door in the basement of the Hercules house leads to the Sixth Dimension by way of a gigantic set of intestine. When Frenchy slips through the door
Absolute Beginners,"A musical adaptation of Colin MacInnes' novel about life in late 1950s London. Nineteen-year-old photographer Colin is hopelessly in love with model Crepe Suzette
Kill Your Darlings,"A murder in 1944 draws together the great poets of the beat generation: Allen Ginsberg
Get Low,"A movie spun out of equal parts folk tale
About Last Night,"A modern reimagining of the classic romantic comedy
Chi-Raq,"A modern day adaptation of the ancient Greek play Lysistrata by Aristophanes
Tromeo & Juliet,"A modern
Pawn Shop Chronicles,"A missing wedding ring leads to a wild-goose chase involving meth addicts
Tom and Huck,"A mischievous young boy
The In Crowd,"A mentally disturbed young woman takes a job at a posh country club and falls in with a clique of wealthy college kids where she's taken under the wing of the clique's twisted leader
The Other Sister,"A mentally challenged girl proves herself to be every bit as capable as her ""perfect"" sister when she moves into an apartment and begins going to college."
Mindscape,"A man with the ability to enter peoples' memories takes on the case of a brilliant
Peacock,"A man with a split personality fools his small town into believing his two alter egos are man and wife
í•˜ìš¸ë§,"A man is found burned to death inside of a car. Detective Sang-Gil (Song Kang-Ho) and his co-workers investigate the scene. Sang-Gil doesn't want to take the case
Letters From a Killer,"A man is falsely convicted of the murder of his wife. During his time in jail
About Last Night...,"A man and woman meet and try to have a romantic affair
I Hate Valentine's Day,"A love story set in Manhattan
I Capture the Castle,"A love story set in 1930s England that follows 17-year-old Cassandra Mortmain
Annabelle's Wish,"A lovable calf named Annabelle born on Christmas Eve has a very special wish... to fly like one of Santa's reindeer. Based on the farm legend that Santa gives voices to the animals for one day each year
Best Worst Movie,"A look at the making of the film Troll 2 (1990) and its journey from being crowned the ""worst film of all time"" to a cherished cult classic."
The Punk Singer,"A look at the life of activist
Einstein and Eddington,"A look at the evolution of Albert Einstein's theory of relativity
From Justin to Kelly,"A lonely
Remember Sunday,"A lonely
